track_id,condition,frame,time_min,x_um,y_um,distance_to_sinusoid_um
C01,control,0,0,154.79120971119266,87.77568795041046,54.791209711192664
C01,control,1,1,157.04256329861204,90.5973820995841,57.04256329861204
C01,control,2,2,151.18945773265054,86.69084357899715,51.18945773265054
C01,control,3,3,151.5729789421524,85.7421158019664,51.57297894215239
C01,control,4,4,151.52257546963952,83.18298401924567,51.52257546963952
C01,control,5,5,154.160769394228,85.5163598255325,54.160769394228
C01,control,6,6,154.35886148691165,88.8980834464366,54.35886148691165
C01,control,7,7,155.76138951366778,86.32020605778689,55.76138951366778
C01,control,8,8,156.8676418659153,83.44355825529989,56.86764186591529
C01,control,9,9,159.5029927698371,83.29378052234114,59.50299276983711
C01,control,10,10,158.94840567920133,81.25099188912931,58.94840567920133
C01,control,11,11,162.61602969522343,80.78740344292291,62.61602969522343
C01,control,12,12,161.33104622873412,79.73100279145822,61.331046228734124
C01,control,13,13,162.92797378539416,80.82733498455046,62.92797378539416
C01,control,14,14,164.16617162018213,82.11979799357411,64.16617162018213
C01,control,15,15,170.5911144227935,80.90055294442027,70.59111442279351
C01,control,16,16,169.0543862355789,78.45923475967663,69.0543862355789
C01,control,17,17,170.90232450330538,81.84615163783931,70.90232450330538
C01,control,18,18,170.56048213034074,79.32568220695173,70.56048213034074
C01,control,19,19,168.08703848326704,81.27746057042583,68.08703848326704
C01,control,20,20,170.31680099687736,82.90692337534142,70.31680099687736
C01,control,21,21,168.3202718750113,83.60340734454158,68.32027187501129
C01,control,22,22,168.67032930243346,84.25947313472862,68.67032930243346
C01,control,23,23,171.28461563627803,84.93025978105267,71.28461563627803
C01,control,24,24,173.32135632549372,85.13299698951934,73.32135632549372
C01,control,25,25,174.18871452156367,87.02686166703496,74.18871452156367
C01,control,26,26,169.81724706199668,86.06784801796306,69.81724706199668
C01,control,27,27,168.4061290991183,84.15121447323303,68.40612909911829
C01,control,28,28,167.58070234543823,88.63603840693621,67.58070234543823
C01,control,29,29,164.9832089983585,91.54087347071064,64.98320899835849
C02,control,0,0,113.04722129623777,152.9997714832051,13.047221296237765
C02,control,1,1,113.53548049155278,154.75843847728294,13.535480491552775
C02,control,2,2,115.66916023093134,157.13848018288272,15.66916023093134
C02,control,3,3,114.62298501418604,155.751424804889,14.622985014186042
C02,control,4,4,117.19691265795748,155.17751183024416,17.196912657957483
C02,control,5,5,113.36985368794372,151.7776501882337,13.369853687943717
C02,control,6,6,110.61149682993889,153.269132420395,10.611496829938886
C02,control,7,7,111.03877403815058,155.34058848259832,11.038774038150578
C02,control,8,8,109.75701609914096,155.81620755582847,9.757016099140955
C02,control,9,9,111.63378728104298,154.88816793666774,11.633787281042984
C02,control,10,10,113.00411299371522,152.9023901134678,13.004112993715225
C02,control,11,11,111.91495145402,151.7571764314728,11.914951454019999
C02,control,12,12,108.32743251725287,153.21809387382956,8.327432517252873
C02,control,13,13,106.91922549664471,153.25557623001262,6.919225496644714
C02,control,14,14,108.36146547336244,154.59516975810246,8.361465473362443
C02,control,15,15,110.3576208002808,154.2997133045742,10.357620800280799
C02,control,16,16,109.08772586414834,154.060558671855,9.08772586414834
C02,control,17,17,104.02572256227424,149.71922125458573,4.02572256227424
C02,control,18,18,100.05762372521104,146.7274807717813,0.05762372521104453
C02,control,19,19,101.25694640538136,144.01104360570113,1.2569464053813562
C02,control,20,20,100.12245874326318,147.90872849905932,0.12245874326318074
C02,control,21,21,99.0536668300789,150.12127520446057,0.946333169921104
C02,control,22,22,96.25281379004926,149.50496253085768,3.7471862099507405
C02,control,23,23,93.40274762531752,148.487863303156,6.597252374682483
C02,control,24,24,95.9236720376897,143.30590203357897,4.076327962310302
C02,control,25,25,97.22694296832726,144.01910884057577,2.773057031672735
C02,control,26,26,95.44449310123689,139.6809352774104,4.555506898763113
C02,control,27,27,95.66088162437848,138.09245715021902,4.339118375621524
C02,control,28,28,96.3589102584426,138.15801358678934,3.641089741557394
