track_id,condition,n_frames,mean_speed_um_min,path_length_um,displacement_um,persistence,arrest_coefficient,initial_distance_to_sinusoid_um,final_distance_to_sinusoid_um,approach_distance_um
C01,control,30,3.0254331512336177,87.73756138577491,10.865241436427764,0.12383796933509678,0.1724137931034483,54.791209711192664,64.98320899835849,-10.191999287165828
C02,control,30,2.8931150071132143,83.90033520628322,19.578386728214884,0.23335290234631478,0.3448275862068966,13.047221296237765,1.1642469324053621,11.882974363832403
C03,control,30,3.876077109893915,112.40623618692354,7.947880791505595,0.0707067602396084,0.10344827586206896,83.11113577202218,81.67070249595798,1.4404332760641978
C04,control,30,3.7736024620649045,109.43447139988223,20.767923430190315,0.18977496911647407,0.1724137931034483,36.8141896338414,54.86090491517599,-18.046715281334592
C05,control,30,3.7049653487502674,107.44399511375775,23.31380186868265,0.2169856197547276,0.3103448275862069,25.163191318563463,42.370952939578174,-17.20776162101471
C06,control,30,3.920447683020124,113.69298280758359,17.81430104534104,0.15668777971539669,0.13793103448275862,16.622126281023,11.395879114894072,5.226247166128928
C07,control,30,3.7999862493822962,110.1996012320866,7.2794754779455975,0.06605718529429712,0.20689655172413793,37.11200395914742,35.8252877036643,1.286716255483121
C08,control,30,3.6420018303254964,105.61805307943939,10.514569360079895,0.09955276634546069,0.27586206896551724,75.01526413887139,83.48714500924484,-8.471880870373454
C09,control,30,4.022881482876006,116.66356300340416,22.27479014749267,0.1909318520200065,0.1724137931034483,13.716360964021973,5.593942657736164,8.122418306285809
C10,control,30,3.624463818313985,105.10945073110557,19.47410601888166,0.18527454842001748,0.1724137931034483,17.289034602959205,4.733021970897397,12.556012632061808
C11,control,30,4.005399839647672,116.15659534978249,16.022782011332442,0.13794121602034753,0.1724137931034483,97.10803389898524,81.67215500345543,15.435878895529811
C12,control,30,3.7636200212091,109.1449806150639,31.275496752245726,0.28655002342754704,0.20689655172413793,26.908052990359437,0.8676421325278767,26.04041085783156
C13,control,30,4.25166139191552,123.29818036555007,17.72116461866286,0.1437260839221129,0.10344827586206896,13.734595970710075,3.9607710301719266,9.773824940538148
C14,control,30,3.48471390643672,101.05670328666488,20.996312690664723,0.20776763943214174,0.20689655172413793,65.4112127115844,83.1922431211895,-17.78103040960511
C15,control,30,3.6537537263015993,105.95885806274639,16.97870080046691,0.16023861629777583,0.2413793103448276,59.12052658371416,68.82504402639567,-9.704517442681514
I01,injury,30,3.969109155384052,115.1041655061375,25.68596315639961,0.22315407130100778,0.20689655172413793,47.02588550392667,22.780896851427485,24.244988652499188
I02,injury,30,3.1908942508919655,92.535933275867,21.42889328020454,0.23157375218036635,0.3103448275862069,24.541748997641633,3.289847689710541,21.251901307931092
I03,injury,30,3.705541597887603,107.4607063387405,46.75345483376222,0.4350748885493525,0.10344827586206896,44.96949487965733,3.577546393139926,41.39194848651741
I04,injury,30,3.2754430263638046,94.98784776455034,17.999022090243738,0.18948762935295194,0.2413793103448276,23.933705193972287,6.956840420094082,16.976864773878205
I05,injury,30,4.22309523421273,122.46976179216917,30.240352361707103,0.24692096987193374,0.1724137931034483,50.46578288671054,20.8590319230928,29.606750963617742
I06,injury,30,4.0982553002152695,118.84940370624282,38.50839167291902,0.32400996952495675,0.10344827586206896,35.90540184179156,2.402774233355757,33.5026276084358
I07,injury,30,4.2206430457664865,122.39864832722812,28.953331648581702,0.23654943942825313,0.10344827586206896,24.281442488053813,1.0756644594271592,23.205778028626654
I08,injury,30,3.9525835725460894,114.62492360383659,5.151332622034044,0.044940772565641426,0.1724137931034483,4.0914887534455175,7.414439364444647,-3.322950610999129
I09,injury,30,3.9341051956757864,114.0890506745978,10.343703601650244,0.09066342072695759,0.27586206896551724,8.699119015972116,1.7442734964793374,6.954845519492778
I10,injury,30,3.9237994682606225,113.79018457955806,47.122295109222556,0.41411563996784206,0.1724137931034483,98.96297856592167,55.68625409982397,43.276724466097704
I11,injury,30,4.397510877127448,127.52781543669599,48.840261594229325,0.38297732480545255,0.1724137931034483,49.59802579048937,3.0725682035971573,46.525457586892216
I12,injury,30,3.5000219615301758,101.5006368843751,10.120274463988027,0.0997065119455022,0.27586206896551724,64.90755068418244,61.50825611715554,3.3992945670268995
I13,injury,30,3.9688588682914956,115.09690718045337,21.545053393987743,0.18719055030912843,0.13793103448275862,69.3342101016487,49.67518416356555,19.659025938083147
I14,injury,30,3.8987753983955193,113.06448655347006,45.46654341207342,0.4021293051251026,0.20689655172413793,31.69615367865839,1.6705764884709424,30.025577190187448
I15,injury,30,4.315267241965812,125.14275001700857,55.42546163722088,0.4428979036315553,0.10344827586206896,66.05717898028786,21.77924453340883,44.27793444687903
